"category";"name";"manufacturer";"price";"image";"tablet_screen_size";"screen_dimension";"memmory_size";"type";"weight";"short_description";"is_active";"additionalCategories"
"Компьютеры/Планшеты";"Apple iPad 2 16Gb Wi-Fi + 3G";"Apple";430;"iPad2BLACK.jpg";"9.7""";"1024x768";"16 Гб";"tablet";"613 г";"экран 9.7"", 1024x768, емкостный, мультитач, iOS, встроенная память 16 Гб, Wi-Fi, Bluetooth, 3G, GPS, гироскоп, две фотокамеры, вес 613 г";1;"Компьютеры"
"Компьютеры/Планшеты";"Apple iPad 2 64Gb Wi-Fi + 3G";"Apple";560;"apple_ipad_2_white.jpg";"9.7""";"1024x768";"64 Гб";"tablet";"613 г";"экран 9.7"", 1024x768, емкостный, мультитач, iOS, встроенная память 64 Гб, Wi-Fi, Bluetooth, 3G, GPS, гироскоп, две фотокамеры, вес 613 г";1;"Компьютеры"
"Компьютеры/Планшеты";"Samsung Galaxy Tab 7.0 Plus P6200 16GB";"Samsung";350;"samsung_galaxy_tab_p6200_white.jpg";"7""";"1024x600";"16 Гб";"tablet";"343 г";"экран 7"", 1024x600, емкостный, мультитач, Android 3.2, встроенная память 16 Гб, microSDHC, Wi-Fi, Bluetooth, 3G, GPS, гироскоп, две фотокамеры, подключение к компьютеру по USB, вес 343 г";1;"Компьютеры"
"Компьютеры/Планшеты";"Acer Iconia Tab A100 8Gb";"Acer";365;"acericonica.jpg";"7""";"1024x600";"8 Гб";"tablet";"410 г";"экран 7"", 1024x600, емкостный, мультитач, Android 3.2, встроенная память 8 Гб, microSDHC, Wi-Fi, Bluetooth, GPS, гироскоп, две фотокамеры, HDMI, подключение к компьютеру по USB, вес 410 г";1;"Компьютеры"
"Компьютеры/Планшеты";"Asus Transformer Pad Prime 201 64Gb";"Asus";495;"AsusTransformerPadPrime20164Gb.jpg";"10.1""";"1280x800";"64 Гб";"tablet";"586 г";"экран 10.1"", 1280x800, емкостный, мультитач, Android 4.0, встроенная память 64 Гб, microSD, Wi-Fi, Bluetooth, гироскоп, две фотокамеры, micro HDMI, подключение к компьютеру по USB, вес 586 г";1;"Компьютеры"
"Компьютеры/Планшеты";"Samsung Galaxy Tab 10.1 P7500 16Gb";"Samsung";475;"samsung_galaxy_tab_p6200_white.jpg";"10.1""";"1280x800";"16 Гб";"tablet";"565 г";"экран 10.1"", 1280x800, емкостный, мультитач, Android 3.1, встроенная память 16 Гб, Wi-Fi, Bluetooth, 3G, GPS, гироскоп, две фотокамеры, подключение к компьютеру по USB, вес 565 г";1;"Компьютеры"
