"category";"name";"price";"manufacturer";"image";"phone_platform";"phone_weight";"phone_display";"phone_camera";"short_description";"is_active";"type"
"Телефоны";"Samsung Galaxy Ace II";390;"Samsung";"samsung_galaxy_ace.jpg";"Android";"118 г";"3.8""";"5 МП";"GSM, 3G, смартфон, Android 2.3, вес 118 г, ШхВхТ: 62.3x118.3x10.5 мм, экран 3.8"", 480x800, FM-радио, Bluetooth, Wi-Fi, GPS, ГЛОНАСС, фотокамера 5 МП, память 4 Гб, слот microSD (TransFlash), аккумулятор 1500 мАч";1;"phone"
"Телефоны";"HTC One XL";425;"HTC";"ven-33856_img.jpg";"Android";"129 г";"4.7""";"8 МП";"GSM, 3G, смартфон, Android 4.0, вес 129 г, ШхВхТ: 69.9x134.8x8.9 мм, экран 4.7"", 720x1280, FM-радио, Bluetooth, Wi-Fi, GPS, фотокамера 8 МП, память 32 Гб, аккумулятор 1800 мАч";1;"phone"
"Телефоны";"HTC Sensation XL";480;"HTC";"HTC-Sensation-XL.jpg";"Android";"162 г";"4.7""";"8 МП";"GSM, 3G, смартфон, Android 2.3, вес 162 г, ШхВхТ: 70.7x132.5x9.9 мм, экран 4.7"", 480x800, FM-радио, Bluetooth, Wi-Fi, GPS, фотокамера 8 МП, память 16 Гб, аккумулятор 1600 мАч";1;"phone"
"Телефоны";"Apple iPhone 4S 16Gb";675;"Apple";"apple_iphone_4_16gb_1.jpg";"iOS";"140 г";"3.5""";"8 МП";"GSM, CDMA800, CDMA1900, 3G, смартфон, iOS 5, вес 140 г, ШхВхТ: 58.6x115.2x9.3 мм, экран 3.5"", 640x960, Bluetooth, Wi-Fi, GPS, ГЛОНАСС, фотокамера 8 МП, память 16 Гб";1;"phone"
"Телефоны";"Apple iPhone 3GS 8Gb";425;"Apple";"apple_iphone_4_16gb_1.jpg";"iOS";"135 г";"3.5""";"3 МП";"GSM, 3G, смартфон, iOS, вес 135 г, ШхВхТ: 62x116x12 мм, экран 3.5"", 320x480, Bluetooth, Wi-Fi, GPS, фотокамера 3 МП, память 8 Гб";1;"phone"
"Телефоны";"Apple iPhone 4 16Gb";550;"Apple";"apple_iphone_4_16gb_1.jpg";"iOS";"137 г";"3.5""";"5 МП";"GSM, 3G, смартфон, iOS 4, вес 137 г, ШхВхТ: 59x115x9 мм, экран 3.5"", 640x960, Bluetooth, Wi-Fi, GPS, фотокамера 5 МП, память 16 Гб";1;"phone"
"Телефоны";"Nokia N9";425;"Nokia";"nokia_n9_00.jpg";"MeeGo";"135 г";"3.9""";"8 МП";"GSM, 3G, смартфон, MeeGo 1.2, вес 135 г, ШхВхТ: 61x116x12 мм, экран 3.9"", 480x854, Bluetooth, Wi-Fi, GPS, фотокамера 8 МП, аккумулятор 1450 мАч";1;"phone"
"Телефоны";"BlackBerry Bold 9900";445;"BlackBerry";"blackberry-bold_9900.jpg";"BlackBerry OS";"130 г";"2.8""";"5 МП";"GSM, 3G, смартфон, BlackBerry OS, вес 130 г, ШхВхТ: 66x115x11 мм, экран 2.8"", 640x480, Bluetooth, Wi-Fi, GPS, фотокамера 5 МП, память 8 Гб, слот microSD (TransFlash), аккумулятор 1230 мАч";1;"phone"
"Телефоны";"BlackBerry Bold 9780";379;"BlackBerry";"blackberry_bold_9780_01.jpg";"BlackBerry OS";"122 г";"2.4""";"5 МП";"GSM, 3G, смартфон, BlackBerry OS, вес 122 г, ШхВхТ: 60x109x14 мм, экран 2.4"", 480x360, Bluetooth, Wi-Fi, GPS, фотокамера 5 МП, память 256 Мб, слот microSD (TransFlash), аккумулятор 1500 мАч";1;"phone"
