"category";"name";"price";"image";"type";"manufacturer";"rms_power";"corpus_material";"sound_type";"short_description";"additionalCategories"
"Компьютеры/Компьютерная акустика";"Logitech X-530";99;"ligitechx350.jpg";"computer_sound";"Logitech";"71 Вт";"пластик";"5.1";"число каналов: 5.1, мощность 71.20 Вт, 40-20000 Гц, материал колонок: пластик, материал сабвуфера: MDF, разъем для наушников, магнитное экранирование";"Компьютеры"
"Компьютеры/Компьютерная акустика";"Microlab M-860";89;"microlab-860.jpg";"computer_sound";"Microlab";"62 Вт";"пластик";"5.1";"число каналов: 5.1, мощность 62 Вт, 30-20000 Гц, материал колонок: пластик, материал сабвуфера: MDF, магнитное экранирование, пульт ДУ";"Компьютеры"
"Компьютеры/Компьютерная акустика";"Edifier M3700";115;"edifierm3700.jpg";"computer_sound";"Edifier";"80 Вт";"MDF";"5.1";"число каналов: 5.1, мощность 80 Вт, 45-20000 Гц, материал колонок: MDF, материал сабвуфера: MDF, магнитное экранирование, пульт ДУ";"Компьютеры"
"Компьютеры/Компьютерная акустика";"Logitech Z-313";84;"logitech speakers z313.jpg";"computer_sound";"Logitech";"25 Вт";"пластик";"2.1";"число каналов: 2.1, мощность 25 Вт, 48-20000 Гц, материал колонок: пластик, материал сабвуфера: MDF";"Компьютеры"
"Компьютеры/Компьютерная акустика";"Sven SPS-820";55;"Sven-SPS-820.jpg";"computer_sound";"Sven";"30 Вт";"MDF";"2.1";"число каналов: 2.1, мощность 38 Вт, 50-20000 Гц, материал колонок: MDF, материал сабвуфера: MDF, магнитное экранирование";"Компьютеры"
"Компьютеры/Компьютерная акустика";"Edifier M1385";67;"eidifierm1385.jpg";"computer_sound";"Edifier";"28 Вт";"MDF";"2.1";"число каналов: 2.1, мощность 28 Вт, материал сабвуфера: MDF, разъем для наушников, магнитное экранирование, радио";"Компьютеры"
"Компьютеры/Компьютерная акустика";"Edifier X600";45;"edifierx600.jpg";"computer_sound";"Edifier";"30 Вт";"MDF";"2.1";"число каналов: 2.1, мощность 30 Вт, 48-20000 Гц, материал колонок: MDF, материал сабвуфера: MDF, магнитное экранирование";"Компьютеры"
"Компьютеры/Компьютерная акустика";"Microlab FC 362";85;"MicrolabFC362.jpg";"computer_sound";"Microlab";"62 Вт";"MDF";"2.1";"число каналов: 2.1, мощность 54 Вт, 35-20000 Гц, материал сабвуфера: MDF, разъем для наушников";"Компьютеры"
